"candidate_id","run","kind","subject","statement","evidence_ref","count","denominator"
"c001","01_landscape/v0.5","author-limitation","open-darts-MCP","automation only within controlled boundaries; validation and supervision remain under user control","doi:10.3997/2214-4609.202639027","",""
"c002","01_landscape/v0.5","author-limitation","Agentic Optimizer","the architecture is conceptual and is intended as a scalable design pattern rather than a validated field case","doi:10.5281/zenodo.20109894","",""
"c003","01_landscape/v0.5","author-limitation","Fortran-to-Devito","Authors state that although the system stores comprehensive conversion history, 'its capabilities for advanced data mining and pattern discovery remain limited'; that the quality evaluation framework relies on fixed predefined thresholds that cannot adjust to code type, complexity or historical performance, so adaptability 'is constrained by this static configuration'; and they concede the reported MRR 'look[s] too good' because each query has a set of valid references rather than a unique target, which 'limits the ability of MRR to differentiate retrieval quality under the current evaluation configuration'.","arxiv:2601.18381","",""
"c004","01_landscape/v0.5","author-limitation","PetroGraph","Authors state 'the improvement in the metric diminishes as the model size and complexity increase', that Norne shows only 'a modest, yet discernible, reduction in misfit', and that a residual wNRMSE of 2.01 leaves substantial mismatch; they record that the Parameterizer exceeded its own prompt guidance (79 parameters on Norne against a recommended 3-20). Future work: extend RAG to 'more nuanced simulator behaviour', add long-term memory for multi-stage history matching, refine the agent graph for multi-cycle campaigns.","arxiv:2605.15028","",""
"c005","01_landscape/v0.5","author-limitation","chen2026-gagaw","fusion example uses only sequential structure-constrained inversion, other joint/coupled methods not yet implemented; geophysics coverage narrow (ERT, seismic refraction, basic climate linkage only); uncertainty quantification propagates only petrophysical parameter uncertainty, not survey/electrode/temperature-drift errors; LLM hallucination and malformed-JSON failures documented during development","doi:10.1016/j.bdes.2026.100042","",""
"c006","01_landscape/v0.5","author-limitation","not stated","barriers include limited foundational understanding, skepticism about AI reliability and a lack of standardized practices; rigorous validation needed","doi:10.1016/j.geoai.2025.100036","",""
"c007","01_landscape/v0.5","author-limitation","ESHM20-MCP","Default branch subsets do not cover every authorized ESHM20 logic-tree branch; 20 km area-source discretisation and finite distance cutoffs; deterministic highest-weighted branches rather than full-tree Monte-Carlo (principal source of residual); some taxonomy strings lack ESRM20 vulnerability functions; topographic-slope VS30 proxy is uncertain at a single site; first-call hazard timings 37-488 s per site on one CPU core.","doi:10.1038/s44304-026-00262-z","",""
"c008","01_landscape/v0.5","author-limitation","ENERGYai","data quality, QA/QC protocols, inconsistent data standards and concerns around trust and explainability remain key hurdles","doi:10.2118/229240-ms","",""
"c009","01_landscape/v0.5","author-limitation","MINDS","not available - abstract only","title:largelanguagemodelagentsindynamicmineplanningamodulardecisionsupportframework","",""
"c010","01_landscape/v0.5","author-limitation","not stated","mining-specific LLM-agent implementations are largely conceptual and await empirical validation","doi:10.1109/access.2026.3714775","",""
"c011","01_landscape/v0.5","author-limitation","guo2026-slope-reliability-agents","validated only on classic two-dimensional synthetic scenarios; complex simulation-level failures (defective geometry, meshing issues, non-convergence) are reported via tool diagnostics rather than fully auto-corrected; Monte Carlo sample size is not yet automatically selected; future work needed for 3D and multi-physics-coupled real-world cases","doi:10.1016/j.aei.2026.105065","",""
"c012","01_landscape/v0.5","author-limitation","luo2026-logacf","relies on predefined workflows and expert rules, limiting autonomous generalization under completely unknown geological conditions; reliability strongly dependent on data quality (depth alignment, core-log consistency); multimodal alignment strategy designed mainly for the conventional logging-NMR task; validation mainly based on the SPWLA dataset and one unnamed tight sandstone case, applicability to carbonate/shale reservoirs unverified","doi:10.1016/j.petsci.2026.05.031","",""
"c013","01_landscape/v0.5","author-limitation","pang2026-landslidereconstruction","the framework is data-driven and does not directly simulate slope stability or hydrological processes; effectiveness may be reduced in rural/remote areas with less contextual information; the geometry-estimation workflow is semi-autonomous with human-in-the-loop review, and errors can propagate down the pipeline","doi:10.1016/j.sandf.2026.101789","",""
"c014","01_landscape/v0.5","author-limitation","StripPool-UNet+FPN","Authors report a cautionary finding that 'optimizing recall alone silently discards the best F1 designs', noting an earlier recall-driven search 'had kept a worse model and reverted its genuinely best design'; they state quantitative metrics are often insufficient for fault segmentation given incomplete and uncertain ground-truth labels, so the pipeline can discard valid architectures on minor metric regressions, and propose a future agent to judge visual quality; they note published Thebe results are not directly comparable because they use tolerance-based OIS/ODS matching on different splits, and that one debate run was aborted on a provider transport failure.","doi:10.48550/arxiv.2608.13889","",""
"c015","01_landscape/v0.5","author-limitation","GAIA","Authors acknowledge the inversion problem is intentionally simplified and 'under-represents real world scenario', and that 'the primary outcome is not the recovered fracture parameters themselves'; that 'GAIA + AlphaEvolve did not optimize the evaluator, likely because the evaluator design space is more complex and less intuitive than the system prompt', so that comparison was omitted; that GAIA DT covers only seismic waveform analysis and visualisation while 'many other components need to be added'; that the default Richter magnitude method 'has limitations in accurately estimating the magnitude of large events and events with complex waveforms'; that the current version 'uses a single main agent' rather than a multi-agent system; that a general-purpose rather than geothermal-fine-tuned LLM is used; that physics-based simulations remain too expensive for real-time use pending surrogates; and that the Streamlit interface is a prototype.","doi:10.48550/arxiv.2511.03852","",""
"c016","01_landscape/v0.5","author-limitation","not stated","the large language model is yet to be fine-tuned to incorporate more data categories","doi:10.2118/229586-ms","",""
"c017","01_landscape/v0.5","author-limitation","GeoCopilot","GenAI faces challenges such as data scarcity, interpretability issues, scalability and trustworthiness","doi:10.2118/221864-ms","",""
"c018","01_landscape/v0.5","author-limitation","TREMORS","Authors state the agentic framework 'reduces uncertainty associated with natural-language interpretation' but 'does not eliminate it'; that semantic parsing may fail on ambiguous, imprecise or unusually phrased prompts; that correctness depends on the validity of the parsed schema and on embedded default parameter choices; that the system depends on external FDSN services and ObsPy interfaces and so is sensitive to heterogeneous metadata standards, incomplete station information, service outages and variability across datacenters; and that agents 'are not yet capable of replacing high-level subject matter experts or independently producing scientific discovery'.","doi:10.48550/arxiv.2609.01777","",""
"c019","01_landscape/v0.5","author-limitation","not stated","existing research remains fragmented; key challenges in data governance, explainability, cybersecurity and integration with operational technology","doi:10.63374/qitp-ijpeat_07_02_001","",""
"c020","01_landscape/v0.5","author-limitation","Geologist Copilot","suggests further exploration integrating various drilling data and operational challenges; interpretation shown only with limited data availability","doi:10.3997/2214-4609.2024101588","",""
"c021","01_landscape/v0.5","author-limitation","not stated","developed as a rapid proof of concept within eight weeks","doi:10.2118/229603-ms","",""
"c022","01_landscape/v0.5","author-limitation","not stated","the example is deliberately conceptual and not conditioned on observational data","doi:10.3997/2214-4609.202637165","",""
"c023","01_landscape/v0.5","author-limitation","not stated","petroleum benchmarks are scarce; reservoir and production sub-disciplines lag; industry deployments outpace academic publication","doi:10.20944/preprints202604.1814.v1","",""
"c024","01_landscape/v0.5","author-limitation","GeoMind","No dedicated limitations section. Authors acknowledge an inference-cost penalty of roughly 4.4-4.7 tool calls and three LLM forward passes per window, 1.31-1.71 s per window and up to 6.6 minutes per well, stating 'this is slower than neural-only baselines'; that 'the moderate gap between GeoMind and the variant without the validator suggests that the validator is helpful but not the sole source of improvement'; they frame gains as 'consistent classification improvements under the evaluated settings' and cross-backbone gains as 'preliminary results', and flag the policy-collapse risk that motivated K-fold stacking.","arxiv:2604.21501","",""
"c025","01_landscape/v0.5","author-limitation","TADI","Section 6.3 lists: sparse-data wells 'produce lower-quality answers'; the agent does not ask clarifying questions when scope is ambiguous; recommendation and hypothetical answers rest on LLM reasoning that 'is not formally validated'; field-wide rankings outside the five implemented benchmark modes 'may produce incomplete answers'; tool-selection errors and the 10-round limit create 'planning pressure that the agent occasionally fails to navigate optimally'; heuristic keyword issue labels 'can produce lexical false positives in drilling jargon'; multi-step arithmetic across tool results 'may accumulate errors'. The author states the ablation and baseline analyses are 'qualitative expectations rather than executed benchmark results' and the output checks are 'intentionally lightweight compliance heuristics rather than semantic verification'.","doi:10.48550/arxiv.2605.00060","",""
