"query_id","mode","stage","query_or_url","index_searched","lineage","subfield","n_results","n_new_unique","status","notes"
"1","test","probe","LLM agent rock mechanics geomechanics geotechnical","WebSearch (general web)","1 llm","1 rock mechanics/geomechanics","8","8","ok","10-call subfield-alternating probe, item 1 of 10"
"2","test","probe","autonomous seismic network induced seismicity monitoring reinforcement learning agent","WebSearch (general web)","2 pre-llm","2 seismology and induced seismicity","6","5","ok","10-call probe item 2 of 10; one result (PMC10436615) is a duplicate mirror of the Frontiers paper, deduplicated"
"3","test","probe","LLM agent groundwater hydrogeology model tool use","WebSearch (general web)","1 llm","3 hydrogeology and groundwater","8","8","ok","10-call probe item 3 of 10"
"4","test","probe","closed-loop reservoir management reinforcement learning well placement optimization agent","WebSearch (general web)","2 pre-llm","4 reservoir engineering (petroleum)","8","4","ok","10-call probe item 4 of 10; heavy duplication across arXiv/ResearchGate/Stanford/Springer mirrors of the same 1-2 underlying works"
"5","test","probe","LLM agent geothermal reservoir simulation autonomous","WebSearch (general web)","1 llm","5 geothermal","8","6","ok","10-call probe item 5 of 10"
"6","test","probe","agent-based model CO2 storage CCS injection monitoring","WebSearch (general web)","2 pre-llm","6 CCS","9","7","ok","10-call probe item 6 of 10; n_new_unique corrected from 6 to 7 during a count-reconciliation check that found arxiv_2605.02405 had been omitted from screened.csv on first pass - see RUN.md"
"7","test","probe","LLM agent mining autonomous operations copilot","WebSearch (general web)","1 llm","7 mining","7","7","ok","10-call probe item 7 of 10; ZERO of 7 results on-topic for mining by title (see coverage.md) - all are generic-domain LLM copilots (code, agriculture, GIS, wireless, lab science)"
"8","test","probe","expert system engineering geology multi-agent blackboard architecture","WebSearch (general web)","2 pre-llm","8 engineering geology","9","9","ok","10-call probe item 8 of 10; ZERO of 9 results on-topic for engineering geology by title (see coverage.md) - all are generic blackboard/multi-agent architecture papers with no stated geoscience application"
"9","test","probe","LLM agent geophysical inversion tool use planning","WebSearch (general web)","1 llm","9 subsurface characterisation and geophysical inversion","9","7","ok","10-call probe item 9 of 10"
"10","test","probe","agent-based model geological modelling simulation","WebSearch (general web)","2 pre-llm","10 geological modelling","7","7","ok","10-call probe item 10 of 10"
"11","test","probe","agentic AI LLM engineering geology site investigation geotechnical characterization","WebSearch (general web)","1 llm","8 engineering geology","10","5","ok","3-call thin-subfield/other-lineage probe, item 1 of 3 (engineering geology, queried in lineage 1 after zero-yield lineage-2 probe at query 8)"
"12","test","probe","multi-agent system autonomous mining robotic survey planning","WebSearch (general web)","2 pre-llm","7 mining","6","6","ok","3-call thin-subfield/other-lineage probe, item 2 of 3 (mining, queried in lineage 2 after zero-yield lineage-1 probe at query 7); unlike query 7, this lineage returned 3 on-topic mining-specific results"
"13","test","probe","LLM agent 3D geological modelling subsurface workflow","WebSearch (general web)","1 llm","10 geological modelling","8","2","ok","3-call thin-subfield/other-lineage probe, item 3 of 3 (geological modelling, queried in lineage 1 after lineage-2 probe at query 10)"
"14","test","venue","arxiv physics.geo-ph agentic agent LLM geoscience","WebSearch, targeting arXiv (physics.geo-ph, cs.MA)","1 llm","cross-cutting / venue probe","7","5","ok","Venue-direct probe 1 of 2. Did not restrict results to physics.geo-ph or cs.MA specifically - general web search surfaced mostly cs.AI/cs.CL geospatial-agent papers rather than physics.geo-ph-specific ones; one of the 7 raw results was the arXiv physics.geo-ph listing page itself (not a candidate item, excluded from screened count)"
"15","test","venue","onepetro agentic AI LLM agent reservoir SPE technical paper","WebSearch, targeting OnePetro","1 llm","4 reservoir engineering (petroleum) / venue probe","7","6","ok","Venue-direct probe 2 of 2. OnePetro is reachable via general web search and returned 6 new on-topic SPE technical papers, all 2025 conferences; full-text access to OnePetro papers is expected to be subscription-gated and was not tested in this run (no fetch attempted)"
"16","test","fetch","https://arxiv.org/pdf/2508.02936","arXiv (direct fetch)","1 llm","3 hydrogeology and groundwater","1","0","ok","Mechanics-slice candidate A (AQUAH) - full-text fetch for pass 2/pass 3 read, verification, and extraction"
"17","test","fetch","https://arxiv.org/pdf/2604.21501","arXiv (direct fetch)","1 llm","9 subsurface characterisation and geophysical inversion","1","0","ok","Mechanics-slice candidate D (GeoMind) - full-text fetch for pass 2/pass 3 read, verification, and extraction"
"18","test","fetch","https://arxiv.org/pdf/2508.11618","arXiv (direct fetch)","2 pre-llm","6 CCS","1","0","ok","Mechanics-slice candidate B (CO2 storage Markov game) - full-text fetch for pass 2/pass 3 read, verification, and extraction"
"19","test","fetch","https://arxiv.org/pdf/2508.02936 -> pdfs/arxiv_2508.02936.pdf","arXiv (direct download)","1 llm","3 hydrogeology and groundwater","1","0","ok","PDF download for mechanics-slice candidate A (AQUAH)"
"20","test","fetch","https://arxiv.org/pdf/2604.21501 -> pdfs/arxiv_2604.21501.pdf","arXiv (direct download)","1 llm","9 subsurface characterisation and geophysical inversion","1","0","ok","PDF download for mechanics-slice candidate D (GeoMind). Web-call cap (20) reached at this call; candidate B (CO2 storage Markov game, arXiv:2508.11618) full text was fetched and verified at call 18 but its PDF was not separately downloaded to pdfs/ - see RUN.md budget note"
