"identity_key","tier","system_id","url","title","authors","year","venue","source_type","subfield","subfield_secondary","task","agentic_techniques","architecture","base_model","tools_used","evaluation_method","baseline","held_out","data_type","reported_result","maturity_claimed","maturity_demonstrated","author_stated_limitations","code_availability","access_status","found_via"
"doi:10.3997/2214-4609.202639027","context","open-darts-MCP","https://doi.org/10.3997/2214-4609.202639027","Open-DARTS-MCP: An MCP-Based Architecture for Agentic Reservoir Simulation Workflows","A. Novikov; G. Serrao Seabra; Denis Voskov","2026","not stated","peer-reviewed","geoenergy_subsurface","","agent-driven reservoir modelling through MCP servers exposing a reservoir simulator","tool-calling;retrieval;code-execution;simulator-in-the-loop","agent-plus-simulator","not stated","open-darts reservoir simulator exposed through three Model Context Protocol server designs","comparison of three MCP server designs - retrieval-augmented script synthesis, schema-based generation and typed API endpoints","the three authors own MCP designs compared against each other","not stated","not stated","not stated","an open-source initiative to develop and evaluate an infrastructure for agent-driven reservoir modelling","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.3390/data11070180","context","AlvizMeza2026-simulation-driven-materials-review","https://doi.org/10.3390/data11070180","From Scientific Copilots to Tool-Grounded Autonomy: AI Agents in Simulation-Driven Materials Discovery","Aníbal Alviz-Meza; Alejandro Valencia-Arias; Segundo Rojas-Flores; F. Díaz","2026","Data","peer-reviewed","computational_discovery","","PRISMA-guided review of AI agents in simulation-driven materials discovery","tool-calling;planning","not stated","not stated","not applicable - a review of other systems","PRISMA-guided searches in Scopus and Web of Science; 232 records returned, 27 full texts assessed, 26 studies included","none","no","not stated","26 studies included in the final qualitative synthesis","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.5281/zenodo.20055953","context","Vashisht2026-hpc-orchestration-survey","https://doi.org/10.5281/zenodo.20055953","Autonomous HPC Simulation Orchestration: Surveying Multi-Agent LLM Ecosystems and the NVIDIA Modulus Stack","Hariansh Vashisht; Arnav Kushwaha; Priyanshi Sharma; Nibha Srivastav; Isha Panwar; Ankit Verma","2026","Zenodo (CERN European Organization for Nuclear Research)","preprint","scientific_computing","","survey of multi-agent LLM ecosystems for orchestrating HPC physics simulations","tool-calling;code-execution;role-specialisation","multi-agent-flat","not stated","not applicable - a survey of other systems; focused on the NVIDIA Modulus physics-ML framework","systematic review of agent paradigms drawn from chemistry, materials science, computational fluid dynamics and high-energy physics","none","no","not stated","not stated","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.5281/zenodo.20109894","context","Agentic Optimizer","https://doi.org/10.5281/zenodo.20109894","Agentic Optimizer: Multi-Agent LLM-Feedback-Driven AI Architecture for Subsurface Physics, Fluid-Flow Property Prediction, and Field Development Optimization","Omar Alfarisi","2026","Zenodo (CERN European Organization for Nuclear Research)","preprint","geoenergy_subsurface","","reference architecture for subsurface physics prediction and field development optimisation","planning;role-specialisation;memory;human-in-the-loop;retrieval","multi-agent-hierarchical","not stated","knowledge-extraction agent, prediction agent, insight-extraction agent, reinforcement-learning dynamic optimisation agent, multi-objective optimisation agent, shared memory layer","none - the authors state the architecture is conceptual","none","no","not stated","not stated","intended as a scalable design pattern rather than a validated field case","not stated (abstract only)","the authors state the architecture is conceptual and is intended as a scalable design pattern rather than a validated field case","not stated","abstract-only","harvest"
"doi:10.13031/ja.16663","context","Choi2026-dairy-agentic-twin","https://doi.org/10.13031/ja.16663","Frontier: LLM-Driven Agentic Digital Twins for Dairy Housing: From Data-Rich Facilities to Intelligent Controlled Environmental Systems","Christopher Y. Choi; Sahitha L. Karapitiya; Trey Standiford; Dimuth Panditharatne; Neslihan Akdeniz; Unmesh Raskar; Blerina Gkotse; Hanwook Chung; Bhuvana Krishnaswamy; Hien Vu; Younghyun Kim","2026","Journal of the ASABE","peer-reviewed","simulation_orchestration","","position piece on LLM-agentic digital twins for dairy housing environmental control","planning","not stated","not stated","computational fluid dynamics and sensor streams, named as keywords","none reported","none","no","not stated","not stated","agentic twins integrate physics, sensors, and management objectives","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.5194/wbf2026-553","context","Martinovic2026-dt-inference-service","https://doi.org/10.5194/wbf2026-553","AI inference service in Digital Twins","Tomáš Martinovič; Adam Matuš; Karol Bot Gonçalves; Jan Martinovič","2026","not stated","peer-reviewed","simulation_orchestration","","inference service exposing HPC resources to agentic LLM workflows over biodiversity digital twins","tool-calling;code-execution","pipeline-with-agent","not stated","an OpenAI-compatible API fronting HPC resources","none reported","none","no","not stated","not stated","enabling a new range of research directions in digital twins","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.1371/journal.pone.0353610","context","SyedAli2026-smart-city-agentic-dt","https://doi.org/10.1371/journal.pone.0353610","Agentic AI-enhanced digital twins for Smart City civil infrastructure: A secure, autonomous and auditable management framework","Toqeer Ali Syed; Ali Akarma; Ali Alatify; Muhammad Tayyab Naqash; Abdulaziz Alqurashi","2026","PLoS ONE","peer-reviewed","simulation_orchestration","","agentic digital twin framework for smart city civil infrastructure management","planning;tool-calling;guardrails-validation;provenance","pipeline-with-agent","not stated","LangChain and LangGraph orchestration with controlled API calls to municipal data; permissioned blockchain for auditability","not stated in the abstract","none","not stated","not stated","not stated","a secure, autonomous and auditable management framework","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.2118/229629-ms","context","Shetty2025-agentic-surrogate","https://doi.org/10.2118/229629-ms","Agentic Framework for Intelligent Surrogate Modeling of Simulator-Driven Workflows","Pradeep Kumar Shetty; Antonio Abinader; Prasham Sheth; Sreekrishnan Ramachandran; T.J.G.M. Lam","2025","not stated","peer-reviewed","optimisation_uq","","end-to-end surrogate modelling of simulator-driven oil and gas workflows","planning;tool-calling;simulator-in-the-loop;self-reflection","agent-plus-simulator","not stated","a reservoir/process simulator for well-network flow and gas processing, Monte Carlo dropout uncertainty estimates, an acquisition function","applied to well-network flow and gas processing simulations","none stated in the abstract","not stated","not stated","not stated","meeting accuracy targets with minimal subject matter expert (SME) intervention","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.1016/j.apenergy.2025.126670","context","Antonesi2025-energy-llm-review","https://doi.org/10.1016/j.apenergy.2025.126670","A systematic review of transformers and large language models in the energy sector: towards agentic digital twins","Gabriel Antonesi; Tudor Cioara; Ionuț Anghel; Vasilis Michalakopoulos; Elissaios Sarmas; Liana Toderean","2025","Applied Energy","peer-reviewed","energy_systems","","systematic review of transformer and LLM applications in the energy sector","retrieval","not stated","not stated","not applicable - a review of other systems","systematic review of the AI-in-energy literature","none","no","not stated","not stated","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.2118/229905-ms","context","Ramatullayev2025-field-dev-agents","https://doi.org/10.2118/229905-ms","Multi-Agentic Generative AI Framework for Accelerating Field Development Planning","Samat Ramatullayev; Shao Su; Nour El Droubi; Mohamed Ahmed Elfeel; Khaled Mansour; Zainab Al Kindi","2025","not stated","peer-reviewed","geoenergy_subsurface","","multi-agent generative AI for reservoir simulation compliance, insight generation and well placement optimisation","role-specialisation;tool-calling;guardrails-validation;simulator-in-the-loop","multi-agent-flat","not stated","specialised domain engines for reservoir engineering tasks behind LLM natural language interfaces","not stated in the abstract","none stated in the abstract","not stated","not stated","not stated","accelerating field development planning and institutionalizing engineering best practices","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
