"identity_key","system_id","tango_touchpoints","what_it_drives","interface","autonomy","failure_handling","access_status"
"doi:10.3997/2214-4609.202639027","open-darts-MCP","tool-exposure;config-generation","the open-DARTS reservoir simulator","mcp","not stated","not stated","abstract-only"
"doi:10.3390/data11070180","AlvizMeza2026-simulation-driven-materials-review","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.5281/zenodo.20055953","Vashisht2026-hpc-orchestration-survey","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.5281/zenodo.20109894","Agentic Optimizer","optimisation-loop","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.13031/ja.16663","Choi2026-dairy-agentic-twin","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.5194/wbf2026-553","Martinovic2026-dt-inference-service","hpc-scale-out;results-interpretation","biodiversity digital twin models, unnamed","api","not stated","not stated","abstract-only"
"doi:10.1371/journal.pone.0353610","SyedAli2026-smart-city-agentic-dt","provenance-reproducibility","asset and network models of bridges, roads and water infrastructure","api","not stated","not stated","abstract-only"
"doi:10.2118/229629-ms","Shetty2025-agentic-surrogate","surrogate-modelling;optimisation-loop;uncertainty-quantification","well-network flow and gas processing simulations, simulator unnamed","not stated","executes-and-iterates","not stated","abstract-only"
"doi:10.1016/j.apenergy.2025.126670","Antonesi2025-energy-llm-review","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.2118/229905-ms","Ramatullayev2025-field-dev-agents","verification-regression;optimisation-loop","reservoir simulation models, simulator unnamed","not stated","not stated","not stated","abstract-only"
"doi:10.3997/2214-4609.202637165","Lie2026-differentiable-reservoir-agent","config-generation;topology-construction;solver-control","a modular, fully differentiable reservoir simulator, unnamed in the abstract","not stated","not stated","not stated","abstract-only"
"doi:10.5194/egusphere-egu26-15002","Chiltepin","hpc-scale-out;provenance-reproducibility","earth system model components through the Chiltepin workflow system","not stated","not stated","not stated","abstract-only"
"doi:10.5281/zenodo.21854862","AOBench","hpc-scale-out","mock SLURM and telemetry interfaces of an HPC facility","api","not stated","not stated","abstract-only"
"doi:10.2196/preprints.87374","Li2025-diabetes-dt-agents","config-generation","diabetes progression simulation models built from the MIDUS dataset","not stated","not stated","not stated","abstract-only"
"doi:10.5281/zenodo.21841883","diagnose_project","config-generation;verification-regression","TRITON flood-inundation project configuration and input files","file-io","not stated","not stated","abstract-only"
"doi:10.1016/j.array.2026.100721","Hasan2026-agentic-dt-framework","none","a digital twin of an electric power balancing system, unnamed","not stated","not stated","not stated","abstract-only"
"doi:10.67294/knpyhb26","SilvaSprock2026-cognitive-dt-review","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.48550/arxiv.2609.00795","DeMARS","none","atomistic model construction from experimentally measured disordered crystal structures","not stated","not stated","not stated","abstract-only"
"doi:10.2118/232332-ms","Pal2026-geothermal-agentic-screening","surrogate-modelling;optimisation-loop;uncertainty-quantification","a physics-based geothermal reservoir simulator, unnamed in the abstract","not stated","not stated","not stated","abstract-only"
"doi:10.1109/sci68648.2025.11333875","CoMAS-HPC","hpc-scale-out","HPC workload management, performance analysis and anomaly detection interfaces","api","not stated","not stated","abstract-only"
"arxiv:2605.00803","AutoMat","verification-regression;provenance-reproducibility","computational materials science toolchains named in the papers under reproduction","code-execution","not stated","not stated","abstract-only"
"doi:10.48550/arxiv.2409.11363","CORE-Bench","verification-regression;provenance-reproducibility","the computational pipelines shipped with 90 published papers","code-execution","not stated","not stated","abstract-only"
"arxiv:2607.18485","Li2026-hpc-agent-security","hpc-scale-out","Slurm jobs and simulation output on an HPC system","cli","not stated","not stated","abstract-only"
"doi:10.1007/s44212-025-00099-3","AUDiTs","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.54941/ahfe1007674","Norton2026-shm-causal-agents","topology-construction;verification-regression","multi-functional causal diagnostic models for system health management","not stated","not stated","not stated","abstract-only"
"doi:10.1109/tii.2026.3669495","ModSolAgent","config-generation","Abaqus finite element simulation scripts","code-execution","not stated","not stated","abstract-only"
"doi:10.48550/arxiv.2512.09209","Cen2025-swarm-prompt-coevolution","optimisation-loop","swarm intelligence optimisation algorithms it writes itself","code-execution","executes-and-iterates","not stated","abstract-only"
"doi:10.36227/techrxiv.175979241.11582889/v1","Bahukhandi2025-xai-subsurface-review","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.26190/unsworks/32312","Zhu2026-water-treatment-dt","techno-economic","water and wastewater treatment process models, unnamed","not stated","not stated","not stated","abstract-only"
"doi:10.1609/aaai.v39i28.35373","Timms2025-shipping-agentic-dt","results-interpretation","a shipping fleet digital twin and its attached data streams","api","not stated","not stated","abstract-only"
"arxiv:2603.25898","FactoryFlow","topology-construction;config-generation","simulation-based digital twins of manufacturing systems built through FactoryFlow","file-io","executes-with-approval","not stated","abstract-only"
"doi:10.3778/j.issn.1673-9418.2508051","AutoCode4OF","config-generation;tool-exposure","OpenFOAM executable interface code","code-execution","not stated","not stated","abstract-only"
"doi:10.5281/zenodo.21841882","diagnose_project","config-generation;verification-regression","TRITON flood-inundation project configuration and input files","file-io","not stated","not stated","abstract-only"
