"query_id","api","band","scope","domain_group","query","status","n_available","n_results","n_new_unique","elapsed_s","note"
"q001:openalex","openalex","A_agentic","core","geomechanics","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""rock mechanics"" OR geomechanics OR ""rock mass"" OR ""stress field"" OR ""fault slip"" OR ""hydraulic fracturing"")","ok","179","179","163","2.4",""
"q001:arxiv","arxiv","A_agentic","core","geomechanics","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""rock mechanics"" OR abs:geomechanics OR abs:""rock mass"" OR abs:""stress field"" OR abs:""fault slip"" OR abs:""hydraulic fracturing"")","ok","4","3","0","0.4",""
"q002:openalex","openalex","B_llm","core","geomechanics","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""rock mechanics"" OR geomechanics OR ""rock mass"" OR ""stress field"" OR ""fault slip"" OR ""hydraulic fracturing"")","ok","64","64","48","0.9",""
"q002:arxiv","arxiv","B_llm","core","geomechanics","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""rock mechanics"" OR abs:geomechanics OR abs:""rock mass"" OR abs:""stress field"" OR abs:""fault slip"" OR abs:""hydraulic fracturing"")","ok","4","4","0","0.3",""
"q003:openalex","openalex","A_agentic","core","seismology","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (seismology OR seismic OR earthquake OR ""induced seismicity"" OR ""phase picking"" OR ""earthquake catalog"" OR microseismic)","ok","693","696","566","6.6",""
"q003:arxiv","arxiv","A_agentic","core","seismology","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:seismology OR abs:seismic OR abs:earthquake OR abs:""induced seismicity"" OR abs:""phase picking"" OR abs:""earthquake catalog"" OR abs:microseismic)","ok","39","25","6","0.5",""
"q004:openalex","openalex","B_llm","core","seismology","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (seismology OR seismic OR earthquake OR ""induced seismicity"" OR ""phase picking"" OR ""earthquake catalog"" OR microseismic)","ok","812","812","569","10.4",""
"q004:arxiv","arxiv","B_llm","core","seismology","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:seismology OR abs:seismic OR abs:earthquake OR abs:""induced seismicity"" OR abs:""phase picking"" OR abs:""earthquake catalog"" OR abs:microseismic)","ok","88","88","2","0.3",""
"q005:openalex","openalex","A_agentic","core","hydrogeology","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (hydrogeology OR groundwater OR aquifer OR ""vadose zone"" OR ""contaminant transport"")","ok","504","505","439","4.9",""
"q005:arxiv","arxiv","A_agentic","core","hydrogeology","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:hydrogeology OR abs:groundwater OR abs:aquifer OR abs:""vadose zone"" OR abs:""contaminant transport"")","ok","4","2","2","0.2",""
