"identity_key","decision","tier","subfield","cut_reason","from_audit_sample","note"
"doi:10.5281/zenodo.21234580","out","","","not-geoscience","no","LLM agent conformance protocol; triage group 'ccs' is a false match on the CCS acronym"
"doi:10.5281/zenodo.20135911","out","","","not-geoscience","no","AI forecasting audit note; no geoscience content"
"doi:10.5281/zenodo.21271910","out","","","not-geoscience","no","runtime verification of agentic systems; CCS acronym collision"
"arxiv:2601.18381","in","core","seismology","","no","AI agent reverse-engineers legacy finite-difference wave-propagation code into Devito; LangGraph, RAG, iterative multi-stage workflow"
"doi:10.5281/zenodo.21513648","out","","","not-geoscience","no","MCP security audit; CCS acronym collision"
"doi:10.2523/iptc-24776-ms","in","context","reservoir_engineering","","no","self-supervised autonomous agent framework for re-assessment of existing wells; IPTC, likely paywalled"
"arxiv:2605.15028","in","core","reservoir_engineering","","no","multi-agent history matching; agent configures optimizer, bounds, simulator runs"
"doi:10.3997/2214-4609.202576039","in","context","seismology","","no","EAGE abstract; synthetic data generation plus agentic workflows for subsurface"
"doi:10.5281/zenodo.19362413","out","","","not-a-source","no","podcast episode"
"doi:10.1016/j.geoai.2025.100036","in","context","engineering_geology","","no","perspective paper on LLM agents in geotechnics; no implemented system"
"doi:10.48550/arxiv.2401.04732","out","","","not-geoscience","no","sales-content Q&A; 'Seismic' is the name of a sales enablement platform"
"doi:10.5281/zenodo.20155016","out","","","not-geoscience","no","cryptographic authority governance for agents"
"doi:10.20944/preprints202512.0534.v1","out","","","not-geoscience","no","seismic-resistant structural engineering, not solid-earth geoscience"
"doi:10.1007/s43503-026-00102-z","out","","","not-geoscience","no","fiber-reinforced concrete design; structural/materials engineering"
"doi:10.2118/229240-ms","in","context","reservoir_engineering","","no","ENERGYai agentic AI across O and G value streams; vendor overview"
"doi:10.2523/iptc-25122-ms","in","context","reservoir_engineering","","no","EnergyAI agentic RAG and agent-to-agent framework for subsurface insight; same vendor platform as SPE 229240"
