"query_id","api","band","scope","domain_group","query","status","n_results","n_new_unique","elapsed_s","note"
"q001:openalex","openalex","A_agentic","core","geomechanics","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""rock mechanics"" OR geomechanics OR ""rock mass"" OR ""stress field"" OR ""fault slip"" OR ""hydraulic fracturing"")","ok","179","163","2.1",""
"q001:arxiv","arxiv","A_agentic","core","geomechanics","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""rock mechanics"" OR abs:geomechanics OR abs:""rock mass"" OR abs:""stress field"" OR abs:""fault slip"" OR abs:""hydraulic fracturing"")","ok","3","0","0.7",""
"q002:openalex","openalex","B_llm","core","geomechanics","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""rock mechanics"" OR geomechanics OR ""rock mass"" OR ""stress field"" OR ""fault slip"" OR ""hydraulic fracturing"")","ok","64","48","1.2",""
"q002:arxiv","arxiv","B_llm","core","geomechanics","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""rock mechanics"" OR abs:geomechanics OR abs:""rock mass"" OR abs:""stress field"" OR abs:""fault slip"" OR abs:""hydraulic fracturing"")","ok","4","0","0.5",""
"q003:openalex","openalex","A_agentic","core","seismology","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (seismology OR seismic OR earthquake OR ""induced seismicity"" OR ""phase picking"" OR ""earthquake catalog"" OR microseismic)","ok","693","566","7.0",""
"q003:arxiv","arxiv","A_agentic","core","seismology","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:seismology OR abs:seismic OR abs:earthquake OR abs:""induced seismicity"" OR abs:""phase picking"" OR abs:""earthquake catalog"" OR abs:microseismic)","ok","25","6","1.2",""
"q004:openalex","openalex","B_llm","core","seismology","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (seismology OR seismic OR earthquake OR ""induced seismicity"" OR ""phase picking"" OR ""earthquake catalog"" OR microseismic)","ok","812","569","7.4",""
"q004:arxiv","arxiv","B_llm","core","seismology","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:seismology OR abs:seismic OR abs:earthquake OR abs:""induced seismicity"" OR abs:""phase picking"" OR abs:""earthquake catalog"" OR abs:microseismic)","ok","88","2","16.2",""
"q005:openalex","openalex","A_agentic","core","hydrogeology","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (hydrogeology OR groundwater OR aquifer OR ""vadose zone"" OR ""contaminant transport"")","ok","504","439","5.0",""
"q005:arxiv","arxiv","A_agentic","core","hydrogeology","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:hydrogeology OR abs:groundwater OR abs:aquifer OR abs:""vadose zone"" OR abs:""contaminant transport"")","ok","2","2","0.6",""
"q006:openalex","openalex","B_llm","core","hydrogeology","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (hydrogeology OR groundwater OR aquifer OR ""vadose zone"" OR ""contaminant transport"")","ok","103","69","1.2",""
"q006:arxiv","arxiv","B_llm","core","hydrogeology","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:hydrogeology OR abs:groundwater OR abs:aquifer OR abs:""vadose zone"" OR abs:""contaminant transport"")","ok","1","1","0.4",""
"q007:openalex","openalex","A_agentic","core","reservoir_engineering","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""reservoir engineering"" OR ""reservoir simulation"" OR ""well log"" OR ""petroleum engineering"" OR drilling OR ""production optimization"" OR ""history matching"")","ok","784","625","7.2",""
"q007:arxiv","arxiv","A_agentic","core","reservoir_engineering","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""reservoir engineering"" OR abs:""reservoir simulation"" OR abs:""well log"" OR abs:""petroleum engineering"" OR abs:drilling OR abs:""production optimization"" OR abs:""history matching"")","ok","23","5","0.6",""
"q008:openalex","openalex","B_llm","core","reservoir_engineering","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""reservoir engineering"" OR ""reservoir simulation"" OR ""well log"" OR ""petroleum engineering"" OR drilling OR ""production optimization"" OR ""history matching"")","ok","500","260","4.1",""
"q008:arxiv","arxiv","B_llm","core","reservoir_engineering","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""reservoir engineering"" OR abs:""reservoir simulation"" OR abs:""well log"" OR abs:""petroleum engineering"" OR abs:drilling OR abs:""production optimization"" OR abs:""history matching"")","ok","38","3","1.0",""
"q009:openalex","openalex","A_agentic","core","geothermal","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (geothermal OR ""enhanced geothermal"" OR ""heat flow"" OR ""geothermal reservoir"")","ok","184","130","1.3",""
"q009:arxiv","arxiv","A_agentic","core","geothermal","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:geothermal OR abs:""enhanced geothermal"" OR abs:""heat flow"" OR abs:""geothermal reservoir"")","ok","3","0","11.4",""
"q010:openalex","openalex","B_llm","core","geothermal","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (geothermal OR ""enhanced geothermal"" OR ""heat flow"" OR ""geothermal reservoir"")","ok","63","33","1.0",""
"q010:arxiv","arxiv","B_llm","core","geothermal","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:geothermal OR abs:""enhanced geothermal"" OR abs:""heat flow"" OR abs:""geothermal reservoir"")","ok","8","0","0.6",""
"q011:openalex","openalex","A_agentic","core","ccs","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""carbon capture"" OR ""CO2 storage"" OR ""carbon sequestration"" OR ""geological storage"" OR ""CCS"")","ok","798","618","6.9",""
"q011:arxiv","arxiv","A_agentic","core","ccs","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""carbon capture"" OR abs:""CO2 storage"" OR abs:""carbon sequestration"" OR abs:""geological storage"" OR abs:""CCS"")","ok","50","41","0.9",""
"q012:openalex","openalex","B_llm","core","ccs","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""carbon capture"" OR ""CO2 storage"" OR ""carbon sequestration"" OR ""geological storage"" OR ""CCS"")","ok","370","224","2.7",""
"q012:arxiv","arxiv","B_llm","core","ccs","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""carbon capture"" OR abs:""CO2 storage"" OR abs:""carbon sequestration"" OR abs:""geological storage"" OR abs:""CCS"")","ok","200","138","10.1",""
"q013:openalex","openalex","A_agentic","core","mining","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""mineral exploration"" OR ""mine planning"" OR ""ore body"" OR ""grade control"" OR ""mineral prospectivity"" OR ""mining engineering"")","ok","47","35","1.0",""
"q013:arxiv","arxiv","A_agentic","core","mining","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""mineral exploration"" OR abs:""mine planning"" OR abs:""ore body"" OR abs:""grade control"" OR abs:""mineral prospectivity"" OR abs:""mining engineering"")","ok","1","1","0.5",""
