"identity_key","title","authors","year","venue","first_query","n_queries_returning","subfield_guess","lineage_guess","highest_pass","cut_reason","abstract_stored"
"sciencedirect_S0926580525001438","Large language model-empowered paradigm for automated geotechnical site planning and geological characterization","not stated (title-level only)","not stated","ScienceDirect (journal not identified from title-level result)","1","3","1 rock mechanics/geomechanics","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"arxiv_2503.24047","Towards Scientific Intelligence: A Survey of LLM-based Scientific Agents","not stated (title-level only)","not stated","arXiv","1","4","cross-cutting (not subfield-specific)","1 llm","1","general survey, not geoscience-subfield-specific; kept as background","no"
"sciencedirect_S3050483X25000358","Perspectives: LLM agents reshaping the foundation of geotechnical problem-solving","not stated (title-level only)","not stated","ScienceDirect","1","2","1 rock mechanics/geomechanics","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"arxiv_2603.01022","GeoMCP: A Trustworthy Framework for AI-Assisted Analytical Geotechnical Engineering","not stated (title-level only)","not stated","arXiv","1","1","1 rock mechanics/geomechanics","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"arxiv_2512.14429","Seismology modeling agent: A smart assistant for geophysical researchers","not stated (title-level only)","not stated","arXiv","1","2","2 seismology (secondary: 9 subsurface characterisation)","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"doi_10.1080_17499518.2024.2381026","Future-proofing geotechnics workflows: accelerating problem-solving with large language models","not stated (title-level only)","2024","Georisk (Taylor & Francis)","1","1","1 rock mechanics/geomechanics","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"wikipedia_geomechanics","Geomechanics","n/a","n/a","Wikipedia","1","1","1 rock mechanics/geomechanics","n/a","1","not a research source (encyclopedia entry)","no"
"doi_10.3390_geotechnics6020038","Application of Large Language Models in Geotechnical Engineering: A Movement Towards Safe and Sustainable Future","not stated (title-level only)","not stated","Geotechnics (MDPI)","1","2","1 rock mechanics/geomechanics","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"sciencedirect_S0957417426000850","SeisMind: A domain-knowledge-informed reinforcement learning framework for intelligent control of structural seismic response","not stated (title-level only)","not stated","ScienceDirect","2","1","2 seismology (secondary: 8 engineering geology)","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"doi_10.3389_fdata.2023.1174478","Arrival times by Recurrent Neural Network for induced seismic events from a permanent network","not stated (title-level only)","2023","Frontiers in Big Data","2","2","2 seismology","2 pre-llm","1","not agentic: RNN classifier, no agent/autonomy framing","no"
