"identity_key","decision","tier","subfield","cut_reason","from_audit_sample","note"
"doi:10.5281/zenodo.21234580","out","","","not-geoscience","no","generic AI-agent runtime-verification protocol, no geoscience content; CCS domain tag is a keyword collision (Correctover Conformance Standard vs carbon capture & storage)"
"doi:10.5281/zenodo.20135911","out","","","not-geoscience","no","general AI-drift prediction-audit note, no geoscience"
"doi:10.5281/zenodo.21271910","out","","","not-geoscience","no","generic AI-agent runtime verification framework, no geoscience; CCS acronym collision"
"doi:10.5281/zenodo.21513648","out","","","not-geoscience","no","MCP security audit across AI agent frameworks, no geoscience; CCS acronym collision"
"doi:10.2523/iptc-24776-ms","in","core","reservoir_engineering","","no","self-supervised autonomous agent framework for elder-well re-assessment, feedback loop over generative AI models"
"arxiv:2605.15028","in","core","reservoir_engineering","","no","multi-agent history matching: agents configure parameter selection, optimizer, simulator execution, diagnostics"
"doi:10.3997/2214-4609.202576039","in","context","seismology","","no","synthetic-data + agentic-workflows framework for subsurface, thin/overview abstract"
"doi:10.5281/zenodo.19362413","out","","","not-a-source","no","podcast episode summary, geopolitics/OSINT topic, not geoscience"
"doi:10.1016/j.geoai.2025.100036","in","context","engineering_geology","","no","perspective piece on LLM agents in geotechnics, reviews a hackathon; no single implemented system evaluated (M0-type)"
"doi:10.5281/zenodo.20155016","out","","","not-geoscience","no","generic cryptographic AI-agent authority-governance protocol, no geoscience; CCS-adjacent acronym collision"
"doi:10.20944/preprints202512.0534.v1","out","","","not-geoscience","no","conceptual framework for agentic AI in seismic-RESISTANT STRUCTURAL engineering (building design), not solid-earth seismology"
"doi:10.1007/s43503-026-00102-z","out","","","not-geoscience","no","multi-agent system for seismic-resilient concrete material design (structural/materials engineering), not solid-earth geoscience"
"arxiv:2601.18381","in","core","seismology","","no","AI agent reverse-engineers legacy finite-difference code, translates to Devito (seismic wave-equation modelling tool), RAG + knowledge graph + LangGraph"
"doi:10.2118/229240-ms","in","context","reservoir_engineering","","no","vendor overview of Agentic AI across O&G value streams (ENERGYai examples), broad/marketing framing"
