"query_id","api","band","scope","domain_group","query","status","n_available","n_results","n_new_unique","elapsed_s","note"
"q001:openalex","openalex","A_agentic","core","simulation_orchestration","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"" OR ""model context protocol"" OR ""agentic simulation"") AND (""process simulation"" OR ""flowsheet"" OR ""co-simulation"" OR ""multiphysics"" OR ""simulation workflow"" OR ""digital twin"" OR ""input deck"" OR ""simulation setup"" OR ""model configuration"")","ok","3228","3233","2532","33.0",""
"q001:openalex","openalex","A_agentic","core","simulation_orchestration","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"" OR ""model context protocol"" OR ""agentic simulation"") AND (""process simulation"" OR ""flowsheet"" OR ""co-simulation"" OR ""multiphysics"" OR ""simulation workflow"" OR ""digital twin"" OR ""input deck"" OR ""simulation setup"" OR ""model configuration"")","ok","3228","3233","1","29.5",""
"q001:arxiv","arxiv","A_agentic","core","simulation_orchestration","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"" OR abs:""model context protocol"" OR abs:""agentic simulation"") AND (abs:""process simulation"" OR abs:""flowsheet"" OR abs:""co-simulation"" OR abs:""multiphysics"" OR abs:""simulation workflow"" OR abs:""digital twin"" OR abs:""input deck"" OR abs:""simulation setup"" OR abs:""model configuration"")","ok","311","292","38","10.4",""
"q002:openalex","openalex","B_llm","core","simulation_orchestration","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""code generation"") AND (""process simulation"" OR ""flowsheet"" OR ""co-simulation"" OR ""multiphysics"" OR ""simulation workflow"" OR ""digital twin"" OR ""input deck"" OR ""simulation setup"" OR ""model configuration"")","ok","4328","4000","2403","32.2","TRUNCATED at paging cap (4328 available)"
"q002:arxiv","arxiv","B_llm","core","simulation_orchestration","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""code generation"") AND (abs:""process simulation"" OR abs:""flowsheet"" OR abs:""co-simulation"" OR abs:""multiphysics"" OR abs:""simulation workflow"" OR abs:""digital twin"" OR abs:""input deck"" OR abs:""simulation setup"" OR abs:""model configuration"")","ok","576","572","56","21.8",""
"q003:openalex","openalex","A_agentic","core","solver_control","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"" OR ""model context protocol"" OR ""agentic simulation"") AND (""numerical solver"" OR ""finite element"" OR ""computational fluid dynamics"" OR ""partial differential equation"" OR ""mesh generation"" OR ""solver convergence"" OR ""numerical simulation"" OR ""boundary condition"")","ok","4132","4000","3475","34.0","TRUNCATED at paging cap (4132 available)"
"q003:arxiv","arxiv","A_agentic","core","solver_control","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"" OR abs:""model context protocol"" OR abs:""agentic simulation"") AND (abs:""numerical solver"" OR abs:""finite element"" OR abs:""computational fluid dynamics"" OR abs:""partial differential equation"" OR abs:""mesh generation"" OR abs:""solver convergence"" OR abs:""numerical simulation"" OR abs:""boundary condition"")","ok","631","328","54","13.8",""
"q004:openalex","openalex","B_llm","core","solver_control","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""code generation"") AND (""numerical solver"" OR ""finite element"" OR ""computational fluid dynamics"" OR ""partial differential equation"" OR ""mesh generation"" OR ""solver convergence"" OR ""numerical simulation"" OR ""boundary condition"")","ok","1681","1681","1054","14.6",""
"q004:arxiv","arxiv","B_llm","core","solver_control","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""code generation"") AND (abs:""numerical solver"" OR abs:""finite element"" OR abs:""computational fluid dynamics"" OR abs:""partial differential equation"" OR abs:""mesh generation"" OR abs:""solver convergence"" OR abs:""numerical simulation"" OR abs:""boundary condition"")","ok","354","323","57","12.6",""
"q005:openalex","openalex","A_agentic","core","optimisation_uq","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"" OR ""model context protocol"" OR ""agentic simulation"") AND (""surrogate model"" OR ""Bayesian optimization"" OR ""design of experiments"" OR ""uncertainty quantification"" OR ""sensitivity analysis"" OR ""multi-objective optimization"" OR ""parameter sweep"" OR ""model calibration"")","ok","2475","2475","1682","26.4",""
"q005:arxiv","arxiv","A_agentic","core","optimisation_uq","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"" OR abs:""model context protocol"" OR abs:""agentic simulation"") AND (abs:""surrogate model"" OR abs:""Bayesian optimization"" OR abs:""design of experiments"" OR abs:""uncertainty quantification"" OR abs:""sensitivity analysis"" OR abs:""multi-objective optimization"" OR abs:""parameter sweep"" OR abs:""model calibration"")","ok","422","359","56","16.3",""
"q006:openalex","openalex","B_llm","core","optimisation_uq","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""code generation"") AND (""surrogate model"" OR ""Bayesian optimization"" OR ""design of experiments"" OR ""uncertainty quantification"" OR ""sensitivity analysis"" OR ""multi-objective optimization"" OR ""parameter sweep"" OR ""model calibration"")","ok","4325","4000","2274","33.9","TRUNCATED at paging cap (4325 available)"
"q006:arxiv","arxiv","B_llm","core","optimisation_uq","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""code generation"") AND (abs:""surrogate model"" OR abs:""Bayesian optimization"" OR abs:""design of experiments"" OR abs:""uncertainty quantification"" OR abs:""sensitivity analysis"" OR abs:""multi-objective optimization"" OR abs:""parameter sweep"" OR abs:""model calibration"")","ok","1112","1000","86","40.6","TRUNCATED at paging cap (1112 available)"
"q007:openalex","openalex","A_agentic","core","energy_systems","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"" OR ""model context protocol"" OR ""agentic simulation"") AND (""energy system model"" OR ""power plant"" OR ""thermodynamic cycle"" OR ""organic Rankine cycle"" OR ""district heating"" OR ""techno-economic analysis"" OR ""process engineering"" OR ""heat exchanger"" OR ""levelized cost"")","ok","835","834","662","8.6",""
