"identity_key","decision","tier","subfield","cut_reason","from_audit_sample","note"
"doi:10.3997/2214-4609.202639027","in","context","geoenergy_subsurface","","no","MCP servers exposing open-DARTS reservoir simulator; EAGE conference abstract; same system as 01 run system_id open-darts-MCP"
"doi:10.3390/data11070180","in","context","computational_discovery","","no","review of AI agents in simulation-driven materials discovery; survey, not a system"
"doi:10.1145/3731599.3767349","in","core","scientific_computing","","no","found_via: harvest. LangChain/LangGraph agent dispatching OpenMM MD through Parsl to local GPUs and Polaris; re-read in v0.2 from the ACM version of record rather than the arXiv preprint"
"doi:10.48550/arxiv.2604.07681","in","core","scientific_computing","","no","multi-agent orchestration of materials screening on a leadership-class HPC system"
"doi:10.5281/zenodo.20055953","in","context","scientific_computing","","no","survey of multi-agent LLM ecosystems for HPC simulation orchestration and NVIDIA Modulus"
"doi:10.48550/arxiv.2512.07917","in","core","solver_control","","no","CFD-copilot; domain-adapted LLM plus MCP for end-to-end CFD workflow"
"doi:10.48550/arxiv.2606.07850","in","core","solver_control","","no","PDE-Agents; LangGraph supervisor over three agents driving FEM simulations"
"doi:10.5281/zenodo.20109894","in","context","geoenergy_subsurface","","no","Agentic Optimizer; explicitly a conceptual reference architecture, no implementation; system_id shared with 01 run"
"doi:10.11578/dc.20260516.1","in","core","computational_discovery","","no","matsim-agents v1.0; software record, LangGraph state machine driving MLIPs and DFT codes"
"doi:10.1016/j.dche.2026.100312","in","core","simulation_orchestration","","no","found_via: harvest. LLM agent driving AVEVA Process Simulation through an MCP server; re-read in v0.2 from the Elsevier version of record, which carries a third case study the preprint did not"
"doi:10.5281/zenodo.19593419","out","","scientific_computing","not-a-source","no","conference announcement and scope statement for BDML 2026"
"doi:10.1109/aiware69974.2025.00031","out","","software_engineering","periphery","no","HPCAgentTester; multi-agent unit test generation for HPC software, artefact is test code"
"doi:10.5194/egusphere-egu26-22037","out","","simulation_orchestration","no-simulation-target","no","EGU abstract; agentic AI over geospatial data and decision support, no simulator, solver or model named as the thing driven"
"doi:10.48550/arxiv.2605.20819","in","core","scientific_computing","","no","DynaMate2; runtime registration of expert-defined Python tools for agentic scientific workflows"
"doi:10.1145/3815572.3815744","in","core","scientific_computing","","no","KBase Research Agent; agents compose and run external bioinformatics apps inside KBase"
"doi:10.5281/zenodo.21944484","out","","software_engineering","periphery","no","reproducibility artifact for a benchmark of agentic software engineering"
"doi:10.13031/ja.16663","in","context","simulation_orchestration","","no","Frontier position piece on LLM-agentic digital twins for dairy housing; CFD named as a keyword"
"doi:10.3390/buildings15173190","in","core","solver_control","","no","found_via: harvest. GPT+MCP driving OpenSeesPy against an ETABS benchmark; re-read in v0.2 from the publisher PDF in the local store, which makes the error tables quotable"
"doi:10.3929/ethz-c-000801434","in","core","scientific_computing","","no","EngiAI; multi-agent framework and benchmark suite combining simulation, retrieval and manufacturing preparation"
"doi:10.26434/chemrxiv.15006587/v1","in","core","simulation_orchestration","","no","found_via: harvest. ChemRxiv preprint of the Aspen Plus MCP server; promoted back to core in v0.2 after the PDF was read from the local store. Shares system_id Aspen-MCP with the repository record, so per-system counts are unchanged"
"doi:10.5194/wbf2026-553","in","context","simulation_orchestration","","no","abstract only; agentic inference service tuning biodiversity digital twin models"
"doi:10.6084/m9.figshare.30931802","in","context","computational_discovery","","no","autonomous multi-agent inverse design of hydroxide exchange membranes, physics-grounded; demoted core->context at step 4: full text unreadable, see paywalled.md"
"doi:10.48550/arxiv.2605.15028","in","core","optimisation_uq","","no","multi-agent history matching; agents configure optimiser, bounds and simulator runs"
"doi:10.63544/jbii.v5i5.188","out","","simulation_orchestration","no-simulation-target","no","self-evolving software architecture for cloud resource allocation; artefact is infrastructure policy, not a model"
"doi:10.1016/j.bdes.2026.100042","in","core","geoenergy_subsurface","","no","automated geophysical agent workflow driving inversion and petrophysical conversion; local_pdf available: 1-s2.0-S3050740526000024-main-2.pdf"
"doi:10.25417/uic.32994011.v1","in","core","optimisation_uq","","no","multi-agent LLMs choosing acquisition behaviour inside a Bayesian optimisation loop"
"title:agenticaienabledphysicsinformedmachinelearningframeworkforintelligentbuildingmodelingcontrolandautomation","in","context","simulation_orchestration","","no","doctoral thesis; agentic AI framework for building modelling, simulation and control; demoted core->context at step 4: full text unreadable, see paywalled.md"
"doi:10.1016/j.cma.2026.118985","in","core","solver_control","","no","ALL-FEM; agentic LLMs fine-tuned to write and analyse finite element codes"
"doi:10.1016/j.net.2026.104573","in","context","optimisation_uq","","no","OPTIMA; multi-agent LLM framework delegating search to a validated ensemble optimisation tool; demoted core->context at step 4: full text unreadable, see paywalled.md"
"doi:10.5281/zenodo.19597589","in","core","scientific_computing","","no","aihydro-tools; MCP tool server exposing hydrological research tools to any MCP agent"
"doi:10.1371/journal.pone.0353610","in","context","simulation_orchestration","","no","agentic digital twin framework for civil infrastructure; what the agent acts on is described only at framework level"
"doi:10.25394/pgs.32118403","in","core","simulation_orchestration","","no","doctoral thesis; tool-calling generative AI over nuclear reactor digital twin models and surrogates"
"doi:10.26434/chemrxiv-2025-f1wcr","in","context","optimisation_uq","","no","Honegumi RAG Assistant; agentic system generating and checking Bayesian optimisation pipelines; demoted core->context at step 4: full text unreadable, see paywalled.md"
"doi:10.26434/chemrxiv.15005838/v1","in","context","computational_discovery","","no","Raven; state-aware multi-agent framework linking text, molecular generation and simulation; demoted core->context at step 4: full text unreadable, see paywalled.md"
"doi:10.1109/etfa54631.2023.10275362","out","","lab_automation","periphery","no","LLM agents plan and control a physical modular production facility through skill interfaces; the artefact is plant hardware"
"doi:10.7256/2454-0714.2026.3.78692","out","","simulation_orchestration","no-simulation-target","no","agentic architecture for business process reengineering; digital twin of an organisation, not a physics or engineering model"
"doi:10.48550/arxiv.2603.12813","in","core","simulation_orchestration","","no","agentic AI assistance inside an industrial flowsheet simulation environment; read in place of the AIChE version of record, whose publisher blocks retrieval"
"doi:10.5281/zenodo.20792042","out","","simulation_orchestration","not-a-source","no","structured PREreview record of another preprint"
"title:mechanicaldesignusingmultiphysicsagenticaivolume1fundamentalsaifundamentalsgenairlbasicsengineeringintroduction","out","","simulation_orchestration","not-a-source","no","volume 1 of a textbook series; teaching material, presents no system and no evaluation"
"doi:10.2523/iptc-25122-ms","out","","geoenergy_subsurface","no-simulation-target","no","EnergyAI; agentic RAG and agent-to-agent framework over documents and upstream data, no simulator, solver or model driven"
"doi:10.48550/arxiv.2608.14573","in","core","simulation_general","","no","WARA; closed-loop LLM agents running wireless resource-allocation optimisation experiments"
"doi:10.2118/229629-ms","in","context","optimisation_uq","","no","agentic framework orchestrating sampling, simulator execution and adaptive surrogate retraining; demoted core->context at the step 3a handoff: full text blocked, not in the local PDF store"
"doi:10.48550/arxiv.2509.18178","in","core","solver_control","","no","Foam-Agent 2.0; composable multi-agent automation of the OpenFOAM workflow"
"doi:10.1016/j.jma.2025.08.021","in","context","computational_discovery","","no","LLM-to-agent framework driving ML models for MgH2 catalyst design; demoted core->context at step 4: full text unreadable, see paywalled.md"
"doi:10.5281/zenodo.20388035","in","context","solver_control","","no","Open FEM Agent; MCP server exposing seven finite element solvers to LLM coding agents; demoted core->context at step 4: full text unreadable, see paywalled.md"
"arxiv:2602.11666","in","core","solver_control","","no","PhyNiKCE; neurosymbolic agentic framework for autonomous CFD"
"doi:10.48550/arxiv.2511.03852","in","core","geoenergy_subsurface","","no","GAIA; agentic AI for geothermal field development; system_id shared with 01 run"
"doi:10.65109/jlge7606","out","","scientific_computing","no-simulation-target","no","MACC; agents write and run their own data-analysis code in a competition setting, no external simulator, solver or model"
"doi:10.48550/arxiv.2608.29665","in","core","computational_discovery","","no","local 4B open-weights model driving an autonomous DFT pipeline, audited for reproducibility"
"doi:10.2139/ssrn.4921381","in","core","solver_control","","no","MetaOpenFOAM; LLM multi-agent framework for CFD; check for a duplicate arXiv record and share system_id"
"doi:10.1049/icp.2025.2536","out","","simulation_orchestration","no-simulation-target","no","agentic AIoT for smart-home energy; the agent acts on IoT appliances, the digital twin is background"
"doi:10.48550/arxiv.2603.26005","in","core","simulation_orchestration","","no","AutoB2G; agents construct tightly coupled co-simulation workflows across buildings, RL and distribution grids"
"doi:10.48550/arxiv.2605.06607","in","core","solver_control","","no","AI CFD Scientist; physics-aware agents closing a discovery loop on high-fidelity solvers"
"doi:10.48550/arxiv.2509.07506","out","","software_engineering","periphery","no","Astra; multi-agent GPU kernel optimisation, the artefact is source code"
"doi:10.48550/arxiv.2505.04997","in","core","solver_control","","no","Foam-Agent 1.0; same system as Foam-Agent 2.0, share system_id"
"doi:10.1016/j.compenvurbsys.2026.102449","in","core","simulation_orchestration","","no","agentic urban digital twins generating and autonomously executing workflows via MCP"
"doi:10.2139/ssrn.6672588","in","context","computational_discovery","","no","VirtualLab_CC; LLM-augmented virtual laboratory running quantum chemistry software on HPC; demoted core->context at step 4: full text unreadable, see paywalled.md"
"doi:10.1016/j.apenergy.2025.126670","in","context","energy_systems","","no","systematic review of transformers and LLMs in the energy sector; survey, not a system"
"doi:10.1016/j.autcon.2026.106791","out","","simulation_orchestration","no-simulation-target","no","Graph-DT-GPT; agents translate natural language into database queries over a graph digital twin, nothing is simulated"
"doi:10.2118/229905-ms","in","context","geoenergy_subsurface","","no","multi-agent generative AI coupled to domain engines for reservoir simulation compliance and well placement; demoted core->context at the step 3a handoff: full text blocked, not in the local PDF store"
"doi:10.64898/2026.07.29.741496","out","","software_engineering","periphery","no","field report on agentic AI in research software development; the artefact is code"
"doi:10.48550/arxiv.2508.07035","in","core","computational_discovery","","no","VASPilot; CrewAI agents automating VASP DFT workflows through an MCP server"
"doi:10.3997/2214-4609.202637165","in","context","geoenergy_subsurface","","no","EAGE conference abstract; conversational construction of differentiable reservoir simulation models"
"arxiv:2607.20346","in","core","solver_control","","no","IteraSim RAG; retrieval-augmented agentic assembly of OpenFOAM input decks"
"doi:10.5281/zenodo.22062244","out","","scientific_computing","no-simulation-target","no","vision-language model certification against catastrophic forgetting; no simulator, solver or model driven"
"doi:10.1145/3785462.3815873","in","context","scientific_computing","","no","BioCodex/palmetto-mcp; MCP RunSpecs dispatching genomics computation asynchronously to Slurm; demoted core->context at step 4: full text unreadable, see paywalled.md"
"doi:10.5281/zenodo.21369399","out","","scientific_computing","not-agentic","no","essay on AI as a fourth paradigm; carries alternative-title scaffolding in place of an abstract and presents no system that decides anything"
"doi:10.31223/x5f47g","in","core","simulation_orchestration","","no","Agentic SWMM workflow; skills and MCP automate stormwater model configuration, execution and plotting"
"doi:10.5281/zenodo.19595083","out","","lab_automation","periphery","no","phys-MCP; MCP-style control plane for physical neural network hardware substrates"
"doi:10.48550/arxiv.2511.11788","out","","simulation_general","no-simulation-target","no","MALBO; Bayesian optimisation of LLM agent team composition, what is optimised is the agent team"
"doi:10.5194/egusphere-egu26-15002","in","context","scientific_computing","","no","EGU conference abstract; federated agentic workflows for numerical weather prediction with Chiltepin"
"doi:10.1080/09544828.2026.2624356","in","core","solver_control","","no","LLM agent iterating mechanical designs against FEM analyses"
"title:utilizingmodelcontextprotocolandaimodelstoenhanceorganizationsdigitaltwininfrastructures","out","","simulation_orchestration","no-simulation-target","no","masters thesis; MCP gives AI systems contextualised data access to digital twin platforms, nothing is simulated"
"doi:10.48550/arxiv.2604.27753","in","core","simulation_orchestration","","no","agentic AI optimising traffic signals against a continuously updated traffic-flow digital twin"
"doi:10.48550/arxiv.2412.17146","in","core","solver_control","","no","FoamPilot; LLM agent for FireFOAM fire dynamics simulations"
"arxiv:2607.01812","in","core","solver_control","","no","TO-Master; LLM agents handle geometry, mesh, boundary conditions and solver setup for topology optimisation"
"doi:10.3389/fcpxs.2026.1800335","out","","scientific_computing","not-agentic","no","Kiso; edge-to-cloud provisioning and workflow framework, the abstract describes no LLM or agent that decides anything"
"doi:10.5281/zenodo.20449354","out","","optimisation_uq","not-a-source","no","front matter of an edited FinTech book"
